Topic,Rotulo
38,"CAPITAL, TRANSPORTE, TRANSCRIÇÃO, PERDA, PARALISAÇÃO, URBANIZAÇÃO, MARGEM, FORMAÇÃO, ORIENTAÇÃO, CRISTÃO, FRUSTRAÇÃO, DESTRUIÇÃO, , , , , , , , , , , , , , , , , , "
39,"CELEBRAÇÃO, ENCERRAMENTO, LOJA, , , , , , , , , , , , , , , , , , , , , , , , , , , "
40,"CORREIOS, COMUNICAÇÕES, CELULAR, RADIO, CIENCIA, VELOCIDADE, UNIVERSIDADE, ANAIS, TRANSCRIÇÃO, ABERTA, MODERNIZAÇÃO, APOSENTADO, DISPONIBILIDADE, FORMAÇÃO, EQUIPAMENTOS, FALTA, RECLAMAÇÃO, CONTRATAÇÃO, REMESSA, PRODUÇÃO, CARENTE, DEMANDA, RENOVAÇÃO, REVISÃO, SEGURO, ELETRICA, FERIADO, DESIGUALDADE, RELEVANCIA, DEMONSTRAÇÃO"
41,"SEGURO, MEDICO, ALIMENTAÇÃO, VINCULAÇÃO, PREFEITURA, , , , , , , , , , , , , , , , , , , , , , , , , "
42,"PROFESSOR, UNIVERSIDADE, ESCOLAR, SUPERIOR, FORMAÇÃO, PISO, SALARIAL, CURSO, APRENDIZAGEM, CIENCIA, NUMERO, PESQUISA, RELEVANCIA, DESIGUALDADE, VAGA, DIFICULDADE, NIVEL, ALFABETIZAÇÃO, VINCULAÇÃO, ENTIDADE, CORPO, DIVERSIDADE, DETALHAMENTO, CONCLUSÃO, CONHECIMENTO, EXPERIENCIA, EFEITO, DESCENTRALIZAÇÃO, MODERNIZAÇÃO, CONGRATULAÇÕES"
43,"CARTÃO, TRANSPORTE, ERRO, DEVOLUÇÃO, PROTOCOLO, RELEVANCIA, , , , , , , , , , , , , , , , , , , , , , , , "
44,"RESPOSTA, FALTA, ACUSAÇÃO, CONFIANÇA, , , , , , , , , , , , , , , , , , , , , , , , , , "
45,"MEIO, OBRAS, UNIVERSIDADE, COLONIZAÇÃO, DIFICULDADE, PESQUISA, TERRA, ELETRICA, FALTA, DETALHAMENTO, DEMORA, TRANSPORTE, ACUSAÇÃO, PROPRIEDADE, COMPENSAÇÃO, FORMAÇÃO, MUNDO, DIVERSIDADE, DETERMINAÇÃO, DESAPROPRIAÇÃO, EMISSÃO, NUMERO, CURSO, PARCIAL, SUPERIOR, BASE, FLORESTAIS, ESPECIALIZAÇÃO, ABANDONO, "
46,"RETIRADA, EXPOSIÇÃO, , , , , , , , , , , , , , , , , , , , , , , , , , , , "
47,"TRANSCRIÇÃO, ANAIS, DEMARCAÇÃO, FALTA, RELAÇÕES, PRODUÇÃO, DESAPROPRIAÇÃO, DIRETORIA, CAPITAL, ACIDENTE, REPRESENTANTE, ENTIDADE, SOLENIDADE, MEDICINA, TENTATIVA, CIRCULAÇÃO, , , , , , , , , , , , , , "
48,"PARCIAL, APOSENTADO, EDIÇÃO, ANULAÇÃO, TENTATIVA, ASSUNTOS, REPRESENTANTE, , , , , , , , , , , , , , , , , , , , , , , "
49,"CULTURAL, DIRETOR, PESAR, PRODUÇÃO, TRANSCRIÇÃO, ANAIS, ESCRITOR, UNIVERSIDADE, GLOBO, PESAMES, DANÇA, RECONHECIMENTO, TRANSFORMAÇÃO, PROFESSOR, CAPITAL, DIVERSIDADE, RELEVANCIA, EXPOSIÇÃO, CARENTE, CONCENTRAÇÃO, MEIO, COMPOSIÇÃO, ESPAÇO, ADVOGADO, DETERMINAÇÃO, PROXIMIDADE, OBTENÇÃO, MODERNIZAÇÃO, MOVIMENTAÇÃO, LINGUAGEM"
50,"CONTAS, POSSE, ADMINISTRATIVA, TRANSCRIÇÃO, ANAIS, DIVULGAÇÃO, DEMONSTRAÇÃO, RELEVANCIA, MEIO, CONJUNTA, , , , , , , , , , , , , , , , , , , , "
51,"PENAL, DROGA, SEXUAL, PENA, HOMOSSEXUAL, MENOR, NUMERO, ROUBO, PUNIÇÃO, LOTAÇÃO, EXPLORAÇÃO, DISCRIMINAÇÃO, FALTA, VINCULAÇÃO, CELULAR, FRUSTRAÇÃO, MODERNIZAÇÃO, ANAIS, POSIÇÃO, DEMONSTRAÇÃO, LIMITE, CLASSIFICAÇÃO, MATERIAL, CARGA, PENALIDADE, ENTREGA, DEMORA, INFORMAÇÕES, CENTRAL, FORMAÇÃO"
52,"GUERRA, RELAÇÕES, EFEITO, CORRELAÇÃO, FALTA, TRANSPOSIÇÃO, , , , , , , , , , , , , , , , , , , , , , , , "
53,"CIRCULAÇÃO, RESOLUÇÃO, COMPENSAÇÃO, ASSUNTOS, DESIGUALDADE, REVISÃO, TRANSPORTE, ANAIS, TRANSCRIÇÃO, ELIMINAÇÃO, JUROS, FORMAÇÃO, EXCLUSIVIDADE, EDITORIAL, VERBA, ENTREGA, DEMORA, PESSOAS, CONGRATULAÇÕES, MEIO, , , , , , , , , , "
54,"RACIAL, NEGRO, DISCRIMINAÇÃO, DESIGUALDADE, UNIVERSIDADE, ESCRAVO, RECONHECIMENTO, NACIONALIDADE, CELEBRAÇÃO, ESTRANGEIRA, SUPERIOR, FERIADO, SEXUAL, COMPENSAÇÃO, HOMOSSEXUAL, AÇÃO, FORMAÇÃO, DIGNIDADE, DIFICULDADE, SALARIAL, PERDA, EDIÇÃO, COMPOSIÇÃO, PERICULOSIDADE, REDAÇÃO, REPARAÇÃO, AULA, DESONERAÇÃO, NOMEAÇÃO, ERRO"
55,"PESQUISA, DIVULGAÇÃO, DESIGUALDADE, DEMONSTRAÇÃO, ABOLIÇÃO, CONFIRMAÇÃO, TRANSCRIÇÃO, DISCRIMINAÇÃO, RACIAL, ANAIS, MANIPULAÇÃO, FORMAÇÃO, CONCENTRAÇÃO, ESCOLARIDADE, FALTA, CAPITAL, COMPROVAÇÃO, COMPENSAÇÃO, RELEVANCIA, LITERATURA, MATERIAL, ESCOLAR, CONSOLIDAÇÃO, , , , , , , "
56,"TRANSPOSIÇÃO, DEMORA, NUMERO, NOTA, SEXUAL, RELEVANCIA, ALUMINIO, CARDIOLOGIA, PESQUISA, PORTOS, ENTRADA, CARGA, DISCRIMINAÇÃO, ENTIDADE, TRANSPORTE, , , , , , , , , , , , , , , "
