Topic,Rotulo
9,"UNIVERSIDADE, PROFISSIONAIS, SUPERIOR, ESCOLAR, CURSO, FORMAÇÃO, PROFISSÃO, NOTA, RECONHECIMENTO, VERBA, MEDICO, EXCEPCIONAIS, AMIGOS, PRODUÇÃO, DISCRIMINAÇÃO, FUNÇÃO, ERRO, RENOVAÇÃO, REPROVAÇÃO, PREFEITO, CONCENTRAÇÃO, OFICIAL, PREFEITURA, DISPONIBILIDADE, DEMORA, DERMATOLOGIA, , , , "
10,"EXPLORAÇÃO, CRISE, PRODUÇÃO, ADMINISTRATIVA, ANAIS, TRANSCRIÇÃO, ALIMENTOS, VINCULAÇÃO, PUNIÇÃO, MAIORIA, CONFIRMAÇÃO, ORÇAMENTARIOS, APROXIMAÇÃO, DEMONSTRAÇÃO, REMESSA, POSTO, DIVERSIDADE, FORMAÇÃO, ASSALTO, RESTAURAÇÃO, LEIS, , , , , , , , , "
11,"MEDICO, DOENÇA, PACIENTE, MEDICINA, VIGILANCIA, CIRURGIA, CARDIOLOGIA, ASSUNTOS, UNIVERSIDADE, EQUIPAMENTOS, FORMAÇÃO, CONTRATAÇÃO, MATERNIDADE, ENTIDADE, ESPECIALIDADE, CONDIÇÕES, PORTARIA, DIRETOR, MODERNIZAÇÃO, DESIGUALDADE, PREFEITURA, POSIÇÃO, PUBLICIDADE, VERBA, BEM, ADMINISTRATIVA, PROPRIEDADE, REABILITAÇÃO, GLOBO, TERAPEUTA"
12,"PROMESSA, MANIPULAÇÃO, PREFEITO, CAPITAL, UNIVERSIDADE, PARALISAÇÃO, TENTATIVA, DIFICULDADE, VERBA, CRISE, SUPERIOR, LITORAL, ABANDONO, POSSE, PRESERVAÇÃO, ADMINISTRATIVA, DESIGUALDADE, AGRAVAÇÃO, FRUSTRAÇÃO, CARENTE, CIENCIA, EQUIPAMENTOS, OBTENÇÃO, CONHECIMENTO, DEFASAGEM, CONCENTRAÇÃO, ESPAÇO, MATERNIDADE, NEGAÇÃO, "
13,"CONFEDERAÇÃO, ESPORTIVA, CAPITAL, ANAIS, LUTA, PREFEITO, PUNIÇÃO, TOTAL, DEMONSTRAÇÃO, CANDIDATURA, FORMAÇÃO, ENTIDADE, EFETIVAÇÃO, EQUIPAMENTOS, CONFIRMAÇÃO, AVISO, URBANIZAÇÃO, , , , , , , , , , , , , "
14,"PRODUÇÃO, PREFEITO, TRANSCRIÇÃO, PRESERVAÇÃO, DESMATAMENTO, CAPITAL, FORMAÇÃO, DETALHAMENTO, MODERNIZAÇÃO, OFICIAL, CURSO, RELEVANCIA, POSSE, DISCRIMINAÇÃO, AÇÃO, LITERATURA, NOTA, PLANEJAMENTO, NATURAIS, DEMONSTRAÇÃO, EVOLUÇÃO, DISPOSIÇÃO, EXPEDIÇÃO, MANEJO, ESPORTIVA, COMPOSIÇÃO, ERRO, EXPERIENCIA, MENOR, DEMORA"
15,"TENTATIVA, CONTESTAÇÃO, CRISE, MANDATO, COMPOSIÇÃO, VERDADE, ENTREGA, NOTA, POSIÇÃO, DEFERIMENTO, , , , , , , , , , , , , , , , , , , , "
16,"GLOBO, TRANSCRIÇÃO, ANAIS, CAPITAL, RECONHECIMENTO, PASSAGEM, MANDATO, , , , , , , , , , , , , , , , , , , , , , , "
17,"AGRICULTURA, PRODUÇÃO, AGRICULTOR, ZONA, PREÇO, CONFEDERAÇÃO, FORMAÇÃO, JUROS, PLANEJAMENTO, CREDITOS, DOENÇA, EDIÇÃO, OCUPAÇÃO, REVISÃO, TENTATIVA, DIVERSIDADE, CAMINHÃO, DETERMINAÇÃO, PESAR, COLORADO, AVISO, APRENDIZAGEM, CONFIRMAÇÃO, ADVOGADO, , , , , , "
18,"PREFEITO, CAPITAL, MAIORIA, DOUTRINA, DIGNIDADE, , , , , , , , , , , , , , , , , , , , , , , , , "
19,"ENTIDADE, MARCA, TRANSMISSÃO, , , , , , , , , , , , , , , , , , , , , , , , , , , "
20,"DEMARCAÇÃO, PENAL, TENTATIVA, FUNÇÃO, PODERES, PUNIÇÃO, PARALISAÇÃO, MANIPULAÇÃO, ENTIDADE, CONSTITUCIONAIS, DIVERSIDADE, RECURSO, PENA, DEMORA, TRANSCRIÇÃO, RESPOSTA, PRESERVAÇÃO, ANAIS, VINCULAÇÃO, RECONHECIMENTO, TRIBUNAIS, FRUSTRAÇÃO, POSSE, PROXIMIDADE, EXPLORAÇÃO, ERRO, PREFEITURA, EXPULSÃO, CONSULTA, RECLAMAÇÃO"
21,"CHUVA, DISCRIMINAÇÃO, CRISE, APOSENTADO, RACIAL, PESAR, JUROS, ELETRICA, DESTRUIÇÃO, RESIDENCIA, ERRADICAÇÃO, NOVO, LIMITE, EQUIPARAÇÃO, , , , , , , , , , , , , , , , "
22,"ADMINISTRATIVA, COLIGAÇÃO, PROPORCIONAL, DOAÇÃO, VONTADE, RENOVAÇÃO, DISTRITAL, ENCERRAMENTO, CONCENTRAÇÃO, FUNÇÃO, PROXIMIDADE, EVOLUÇÃO, ENTIDADE, PARLAMENTARISMO, DESIGUALDADE, ERRADICAÇÃO, QUADRO, DETERMINAÇÃO, DIFICULDADE, OFICIAL, PRESERVAÇÃO, MAIORIA, PETIÇÃO, DEMORA, ACUMULAÇÃO, RECESSO, SECRETA, DEPOIMENTO, PRODUÇÃO, PARALISAÇÃO"
23,"UNIVERSIDADE, PREFEITO, PRODUÇÃO, CHUVA, ELETRICA, DETALHAMENTO, CRISE, ENTIDADE, CAPITAL, EVOLUÇÃO, PRESERVAÇÃO, JUROS, DESTRUIÇÃO, RECONHECIMENTO, DETERMINAÇÃO, DEMORA, ALIMENTOS, FINANCEIRA, CREDITOS, COMPENSAÇÃO, MATERIAL, DOENÇA, TENTATIVA, CORPO, LINHA, INFANTIL, DROGA, DIVERSIFICAÇÃO, TRANSMISSÃO, EQUIPAMENTOS"
24,"FINANCEIRA, PRORROGAÇÃO, TENTATIVA, VERBA, POSIÇÃO, CRISE, CARGA, ANAIS, TRANSCRIÇÃO, CARENTE, JUROS, REIVINDICAÇÃO, VINCULAÇÃO, DIFICULDADE, CIRCULAÇÃO, CREDITOS, RELEVANCIA, PRODUÇÃO, DEMORA, DIVERSIDADE, PREFEITURA, MATERIAL, DISPOSIÇÃO, OFERTA, RELACIONAMENTO, LIMITE, EXPERIENCIA, ENCERRAMENTO, , "
25,"PRESERVAÇÃO, DESMATAMENTO, PRODUÇÃO, ANAIS, TRANSCRIÇÃO, RELEVANCIA, ERRADICAÇÃO, RECICLAGEM, DEMARCAÇÃO, TRANSPOSIÇÃO, ASSUNTOS, OFICIAL, RELAÇÕES, CAPITAL, PUNIÇÃO, TENTATIVA, NOTA, APARTHEID, ROTINA, PROBLEMAS, DESCRIÇÃO, , , , , , , , , "
26,"AGRICULTURA, PRODUÇÃO, PRODUTIVIDADE, AGRICULTOR, ZONA, CAPITAL, DEMONSTRAÇÃO, COMPROMISSO, DETALHAMENTO, CONFEDERAÇÃO, ELETRICA, DESIGUALDADE, MODERNIZAÇÃO, RECONHECIMENTO, NATURAIS, POSSE, JUROS, EXTERNO, CONHECIMENTO, REVISÃO, CREDITOS, FORMAÇÃO, SEGURO, SOLENIDADE, DEMORA, DEMARCAÇÃO, PREPARAÇÃO, MAIORIA, PORTARIA, PAVIMENTAÇÃO"
27,"EXCEÇÃO, CONTAS, ASSUNTOS, DESIGUALDADE, DETERMINAÇÃO, PRODUÇÃO, TENTATIVA, ZONA, CALÇADO, DEMONSTRAÇÃO, , , , , , , , , , , , , , , , , , , , "
28,"APOSENTADO, UNIVERSIDADE, DISCRIMINAÇÃO, PREFEITO, DROGA, ENTIDADE, RACIAL, PRODUÇÃO, ASSUNTOS, DIFICULDADE, ANAIS, DOENÇA, DEMONSTRAÇÃO, SUPERIOR, RECONHECIMENTO, PRESERVAÇÃO, ZONA, CALÇADO, ACIDENTE, RELEVANCIA, SEGURIDADE, INTERIOR, CURSO, TECNICO, PARALISAÇÃO, DESIGUALDADE, ELETRICA, SERVIÇOS, VERBA, SOJA"
29,"DETALHAMENTO, RECONHECIMENTO, FUNÇÃO, CONFIRMAÇÃO, CONTESTAÇÃO, PROVA, DETERMINAÇÃO, REGIONALIZAÇÃO, VERACIDADE, REVISÃO, , , , , , , , , , , , , , , , , , , , "
30,"TRANSPORTES, ACIDENTE, DEMORA, OFICIAL, MODERNIZAÇÃO, TOTAL, DIVERSIDADE, MEIOS, CONFIRMAÇÃO, DESLOCAMENTO, RENDIMENTO, NOTA, REVISÃO, CLANDESTINA, DELEGAÇÃO, , , , , , , , , , , , , , , "
31,"ELIMINAÇÃO, DEMORA, SECRETA, RECLAMAÇÃO, , , , , , , , , , , , , , , , , , , , , , , , , , "
32,"RELAÇÕES, ESTRANGEIRA, ENTRADA, CRISE, CONTINENTE, PRODUÇÃO, DETALHAMENTO, TENTATIVA, PRESERVAÇÃO, COMPARAÇÃO, DEMONSTRAÇÃO, PROXIMIDADE, AGRICULTURA, RELEVANCIA, CIRCULAÇÃO, UNIVERSIDADE, MODERNIZAÇÃO, RESIDENCIA, EVOLUÇÃO, DESIGUALDADE, GUERRA, DESEMPREGO, PARALISAÇÃO, CONCENTRAÇÃO, REPUTAÇÃO, DETERMINAÇÃO, INFORMAÇÕES, BEM, ERRADICAÇÃO, RESTITUIÇÃO"
33,"CENTRAL, JUROS, TAXA, INFLAÇÃO, CRISE, CARTÃO, ASSUNTOS, OFICIAL, CREDITOS, DIFICULDADE, ADOÇÃO, PRODUÇÃO, ENTIDADE, CLASSIFICAÇÃO, CONTAS, DESIGUALDADE, DEMONSTRAÇÃO, ALIMENTOS, VINCULAÇÃO, FORMAÇÃO, MODERNIZAÇÃO, MODERAÇÃO, CONVIDADO, AQUISITIVO, RELACIONAMENTO, CONFIRMAÇÃO, , , , "
34,"CRISE, CENTRAL, CREDITOS, JUROS, CARTÃO, COMPARAÇÃO, PRODUÇÃO, EXCESSO, INFLAÇÃO, MUNDO, FORTALECIMENTO, REESTRUTURAÇÃO, AGRAVAÇÃO, DETALHAMENTO, ASSUNTOS, DESIGUALDADE, ADMINISTRATIVA, RESERVAS, OFICIAL, UNIVERSIDADE, CONFIRMAÇÃO, RELEVANCIA, CONCENTRAÇÃO, PREFEITO, PRESERVAÇÃO, MODERNIZAÇÃO, DEMONSTRAÇÃO, TAXA, CARGA, PARALISAÇÃO"
35,"DIAS, UNIVERSIDADE, PREFEITO, CAPITAL, DIVERSIDADE, DROGA, FORMAÇÃO, RECLAMAÇÃO, , , , , , , , , , , , , , , , , , , , , , "
36,"CARTÃO, ERRO, DEVOLUÇÃO, PROTOCOLO, , , , , , , , , , , , , , , , , , , , , , , , , , "
37,"CRISE, OCUPAÇÃO, PODERES, CONSTITUCIONAIS, ADOÇÃO, , , , , , , , , , , , , , , , , , , , , , , , , "
38,"CAPITAL, PREFEITO, TRANSCRIÇÃO, CRISE, PARALISAÇÃO, URBANIZAÇÃO, MARGEM, FORMAÇÃO, ORIENTAÇÃO, CRISTÃO, FRUSTRAÇÃO, DESTRUIÇÃO, , , , , , , , , , , , , , , , , , "
39,"CORREIOS, COMUNICAÇÕES, CELULAR, RADIO, CIENCIA, VELOCIDADE, ANAIS, TRANSCRIÇÃO, UNIVERSIDADE, MODERNIZAÇÃO, ABERTA, DISPONIBILIDADE, ELETRICA, FORMAÇÃO, EQUIPAMENTOS, RECLAMAÇÃO, REMESSA, APOSENTADO, REVISÃO, CARENTE, CONTRATAÇÃO, PRODUÇÃO, DEMANDA, RENOVAÇÃO, RELEVANCIA, SEGURO, POSIÇÃO, DESIGUALDADE, DEMONSTRAÇÃO, VINCULAÇÃO"
40,"EXPOSIÇÃO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
41,"SEGURO, MEDICO, ALIMENTAÇÃO, VINCULAÇÃO, PREFEITURA, , , , , , , , , , , , , , , , , , , , , , , , , "
42,"RESPOSTA, DESOBSTRUÇÃO, DEVOLUÇÃO, ASSUNTOS, , , , , , , , , , , , , , , , , , , , , , , , , , "
43,"PENAL, SEXUAL, HOMOSSEXUAL, MENOR, PENA, DISCRIMINAÇÃO, DROGA, PUNIÇÃO, EXPLORAÇÃO, ROUBO, VINCULAÇÃO, CRISE, MÃO, RECONHECIMENTO, POSIÇÃO, DEMONSTRAÇÃO, PRESCRIÇÃO, CELULAR, CAPITAL, CLASSIFICAÇÃO, DIGNIDADE, FRUSTRAÇÃO, REPUTAÇÃO, MATERIAL, ANAIS, CARGA, PATOLOGIA, DEMORA, CENTRAL, FORMAÇÃO"
44,"PROFESSOR, UNIVERSIDADE, ESCOLAR, SUPERIOR, FORMAÇÃO, PISO, SALARIAL, CURSO, CIENCIA, APRENDIZAGEM, RELEVANCIA, DESIGUALDADE, ALFABETIZAÇÃO, NIVEL, DIFICULDADE, VAGA, VINCULAÇÃO, CONHECIMENTO, CORPO, DIVERSIDADE, DESCENTRALIZAÇÃO, DETALHAMENTO, EXPERIENCIA, ENTIDADE, ABANDONO, PREFEITURA, PREFEITO, CONFIRMAÇÃO, MODERNIZAÇÃO, CAPITAL"
45,"PARCIAL, APOSENTADO, EDIÇÃO, ANULAÇÃO, TENTATIVA, ASSUNTOS, , , , , , , , , , , , , , , , , , , , , , , , "
46,"CIRCULAÇÃO, COMPENSAÇÃO, ASSUNTOS, DESIGUALDADE, REVISÃO, ANAIS, TRANSCRIÇÃO, CONCENTRAÇÃO, ELIMINAÇÃO, JUROS, FORMAÇÃO, DEMORA, EDITORIAL, VERBA, ENTREGA, PESSOAS, , , , , , , , , , , , , , "
47,"CONTAS, POSSE, ADMINISTRATIVA, ANAIS, TRANSCRIÇÃO, DEMONSTRAÇÃO, RELEVANCIA, CONJUNTA, , , , , , , , , , , , , , , , , , , , , , "
48,"UNIFORMIZAÇÃO, PROFISSIONAIS, RESSALVA, BASE, SEGURIDADE, DISPOSIÇÕES, COMPENSAÇÃO, PENAL, COMPOSIÇÃO, CAUSA, CIRCULAÇÃO, PISO, UNIVERSIDADE, SALARIAL, DESONERAÇÃO, DETERMINAÇÃO, EDIÇÃO, INOVAÇÃO, LUCRO, FIXAÇÃO, REQUISITOS, DOTAÇÃO, EXPERIENCIA, CIENCIA, FUNÇÃO, , , , , "
49,"TRANSCRIÇÃO, ANAIS, DEMARCAÇÃO, RELAÇÕES, DESAPROPRIAÇÃO, PRODUÇÃO, ACIDENTE, ENTIDADE, CAPITAL, DETERMINAÇÃO, TENTATIVA, CIRCULAÇÃO, DEMONSTRAÇÃO, , , , , , , , , , , , , , , , , "
50,"TRANSPOSIÇÃO, DEMORA, NOTA, SEXUAL, RELEVANCIA, ALUMINIO, CARDIOLOGIA, PORTOS, ENTRADA, CARGA, DISCRIMINAÇÃO, ENTIDADE, , , , , , , , , , , , , , , , , , "
51,"DESIGUALDADE, ABOLIÇÃO, DISCRIMINAÇÃO, RACIAL, MANIPULAÇÃO, FORMAÇÃO, CONCENTRAÇÃO, ESCOLARIDADE, CAPITAL, COMPROVAÇÃO, COMPENSAÇÃO, RELEVANCIA, LITERATURA, CONSOLIDAÇÃO, , , , , , , , , , , , , , , , "
52,"RACIAL, NEGRO, DISCRIMINAÇÃO, DESIGUALDADE, UNIVERSIDADE, ESCRAVO, NACIONALIDADE, RECONHECIMENTO, ESTRANGEIRA, SUPERIOR, CELEBRAÇÃO, FERIADO, SEXUAL, HOMOSSEXUAL, COMPENSAÇÃO, PRESERVAÇÃO, FORMAÇÃO, DIGNIDADE, DIFICULDADE, SALARIAL, AÇÃO, EDIÇÃO, COMPOSIÇÃO, PERICULOSIDADE, REDAÇÃO, REPARAÇÃO, AULA, DESONERAÇÃO, NOMEAÇÃO, ERRO"
53,"AVIAÇÃO, ACIDENTE, CRISE, CAPITAL, GRAVIDADE, PORTOS, PARALISAÇÃO, DIFICULDADE, ESPAÇO, PASSAGEM, EQUIPAMENTOS, PROXIMIDADE, ANAIS, TENTATIVA, TRANSCRIÇÃO, MANIPULAÇÃO, DEPOIMENTO, AMAZONIA, POSSE, FORMAÇÃO, DEMONSTRAÇÃO, DISCIPLINA, COMPORTAMENTO, SUPERIOR, AGRAVAÇÃO, CONHECIMENTO, PESAMES, VIGILANCIA, CURSO, PUNIÇÃO"
