Topic,Count,Name,Representation,Aspect1,Representative_Docs
9,196,9_sem preconceitos_preconceitos_direito_sistema,"['sem preconceitos', 'preconceitos', 'direito', 'sistema', 'sociedade', 'social', 'possibilidade', 'liberdade', 'nuclear', 'todos sem preconceitos', 'bem todos sem preconceitos', 'democracia', 'pode emendada', 'discriminação', 'transparência publicidade atos', 'exclusivamente', 'promover', 'emendada', 'Presidente', 'subsídio']","['bem', 'preconceitos', 'processo', 'direito', 'sociedade', 'sistema', 'social', 'possibilidade', 'liberdade', 'nuclear', 'democracia', 'grave', 'discriminação', 'Presidente', 'subsídio', 'vigência', 'lei', 'calamidade', 'Estado', 'eleições']","['a Constituição estabelece que o Presidente da República deve manter, defender e fazer cumprir a Constituição, observar as leis, bem como promover o bem geral do povo brasileiro, sustentar a União, a integridade e a independência do Brasil', 'a Constituição arrola entre os seus objetivos o de promover uma sociedade livre, justa e solidária, e de promover o bem de todos, sem preconceitos relativos ao sexo ou a qualquer forma de discriminação.', 'a Constituição estabelece a dignidade da pessoa humana como fundamento e princípio basilar, e busca a promoção do bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.']"
10,188,10_Poder_Brasil_deve_não,"['Poder', 'Brasil', 'deve', 'não', 'União', 'abusos', 'despesa', 'crianças', 'Judiciário', 'adolescentes', 'Público', 'capital', 'nacional', 'redução', 'base', 'República', 'Presidente', 'famílias', 'impeachment', 'Congresso']","['prevista', 'União', 'abusos', 'despesa', 'crianças', 'direito', 'Judiciário', 'adolescentes', 'criação', 'capital', 'nacional', 'lei', 'redução', 'base', 'distinção', 'famílias', 'fixa', 'impeachment', 'Congresso', 'classe']","['A Constituição estabelece a dignidade da pessoa humana como um dos fundamentos da República Federativa do Brasil e a igualdade de todos perante a lei, sem distinção de qualquer natureza.', 'a PEC 241 fixa, para cada exercício, durante 20 anos, limites individualizados para despesa primária total do Poder Executivo, do Poder Judiciário, do Poder Legislativo, inclusive o Tribunal de Contas da União, do Ministério Público da União e da Defensoria Pública da União.', 'A Constituição estabelece que todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade.']"
11,185,11_salário_cidadãos_Federal_Tribunal,"['salário', 'cidadãos', 'Federal', 'Tribunal', 'União', 'Estado', 'permite', 'cor', 'estado', 'civil', 'salário mínimo', 'educação direito', 'acesso', 'Contas União', 'Tribunal Contas União', 'Tribunal Contas', 'benefícios', 'Supremo Tribunal Federal', 'Supremo Tribunal', 'Tribunal Federal']","['salário', 'cidadãos', 'forma', 'União', 'Estado', 'direito', 'sexo', 'cor', 'estado', 'civil', 'acesso', 'benefícios', 'capaz', 'reputação', 'ilibada', 'mínimo', 'calamidade', 'lei', 'Justiça', 'sessão']","['a Constituição veda a reedição, na mesma sessão legislativa, de medida provisória que tenha sido rejeitada ou perdido a sua eficácia no decurso de prazo.', 'a Constituição estabelece a construção de uma sociedade livre, justa e solidária, capaz de promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade ou qualquer outra forma de discriminação.', 'a Constituição permite que cidadãos sem diploma de curso superior sejam indicados para o Supremo Tribunal Federal e o Tribunal de Contas da União, desde que possuam notável saber jurídico e reputação ilibada.']"
12,172,12_competência_legislativa_trabalhadores_Estado,"['competência', 'legislativa', 'trabalhadores', 'Estado', 'União', 'segurança', 'crianças adolescentes', 'Presidente', 'Congresso', 'competência legislativa', 'pública', 'militares', 'organizar', 'Senado', 'CCJ', 'Executivo', 'última instância', 'educação', 'permite', 'Sistema Nacional']","['competência', 'legislativa', 'trabalhadores', 'última', 'Estado', 'União', 'segurança', 'Presidente', 'adolescentes', 'trabalho', 'Congresso', 'pública', 'ambiente', 'militares', 'Senado', 'período', 'Executivo', 'última instância', 'educação', 'receita']","['a Constituição estabelece que é dever da família, da sociedade e do Estado assegurar à criança e ao adolescente, com absoluta prioridade, entre outros direitos, o direito à liberdade, à educação e à convivência familiar e comunitária.', 'a Constituição de 1988 no § 1º do art. 20 previu como receita originária dos Estados e Municípios participação no resultado da exploração de petróleo ou gás natural ou compensação financeira por esta exploração.', 'a Constituição permite ao Congresso Nacional sustar atos normativos do Poder Executivo que exorbitem do poder regulamentar ou dos limites de delegação legislativa.']"
13,160,13_democracia_liberdade_Constitucional_permitiu,"['democracia', 'liberdade', 'Constitucional', 'permitiu', 'legal', 'educação', 'direitos', 'Supremo Tribunal Federal', 'Supremo Tribunal', 'Tribunal Federal', 'menores anos', 'liberdade expressão', 'democracia liberdade', 'Supremo', 'Federal', 'princípios', 'exercício direitos', 'consolidação', 'União tem', 'Brasil']","['democracia', 'liberdade', 'básica', 'legal', 'direito', 'educação', 'direitos', 'exercício', 'trabalho', 'princípios', 'consolidação', 'cargos', 'nacional', 'expressão', 'manifestação', 'cidadania', 'gastos', 'pleno', 'precatórios', 'pessoa']","['a Constituição estabelece que todos têm direito ao meio ambiente ecologicamente equilibrado.', 'a Constituição estabelece que compete ao Senado Federal processar e julgar os Ministros do Supremo Tribunal Federal nos crimes de responsabilidade.', 'a Constituição assegura aos Estados, Distrito Federal e Municípios participação no resultado ou compensação financeira pela exploração de recursos hídricos para fins de geração de energia elétrica.']"
14,154,14_votos_democracia_trabalhistas_maioria,"['votos', 'democracia', 'trabalhistas', 'maioria', 'todos', 'Senado', 'pacto social', 'social direitos', 'opiniões', 'federativo', 'Defensoria Pública', 'direitos trabalhistas', 'transparência', 'Defensoria', 'foi alterada', 'administração pública deve', 'Brasil', 'todos têm direito', 'eleito', 'direitos']","['exercício', 'votos', 'democracia', 'trabalhistas', 'maioria', 'Senado', 'populares', 'opiniões', 'livre', 'federativo', 'história', 'transparência', 'direitos', 'voto', 'Estado', 'legalidade', 'livre exercício', 'sessões', 'pública', 'direito']","['A Constituição estabelece que os deputados e senadores são invioláveis, civil e penalmente, por quaisquer de suas opiniões, palavras e votos, e que em caso de flagrante de crime inafiançável, os autos serão remetidos à Casa respectiva para que, pelo voto da maioria de seus membros, resolva sobre a prisão.', 'a Constituição estabelece que a Defensoria Pública é instituição essencial à função jurisdicional do Estado, incumbindo-lhe a orientação jurídica e a defesa, em todos os graus, dos necessitados.', 'A Constituição estabelece que é vedada a reedição, na mesma sessão legislativa, de medida provisória que tenha sido rejeitada ou que tenha perdido sua eficácia por decurso de prazo.']"
15,148,15_concorrente União_Distrito_Distrito Federal_escolha,"['concorrente União', 'Distrito', 'Distrito Federal', 'escolha', 'União', 'curso', 'Estados', 'União Estados Distrito', 'União Estados Distrito Federal', 'concorrente', 'concorrente União Estados Distrito', 'legislativa concorrente União', 'competência legislativa concorrente União', 'oito anos', 'concorrente União Estados', 'educação saúde', 'legislativa concorrente', 'competência legislativa concorrente', 'entre direitos', 'Federal direito']","['digna', 'iniciativa', 'escolha', 'União', 'direito', 'curso', 'Estados', 'concorrente', 'inabilitação', 'mínimo', 'repartição', 'saúde', 'direitos', 'tributárias', 'social', 'sigilo', 'pena', 'pagamento', 'educação', 'realização']","['A Constituição estabelece que todos têm direito ao meio ambiente ecologicamente equilibrado, impondo-se ao Poder Público e à coletividade o dever de defendê-lo e preservá-lo.', 'a Constituição estabelece a distribuição de receitas tributárias entre a União, os Estados, o Distrito Federal e os Municípios.', 'a Constituição estabelece que a defesa da saúde é matéria de competência legislativa concorrente da União, Estados e Distrito Federal.']"
16,143,16_sessão legislativa_igualdade entre_proíbe_exige,"['sessão legislativa', 'igualdade entre', 'proíbe', 'exige', 'partidária', 'correção', 'Estado direito responsabilidade', 'mais anos', 'dever Estado direito responsabilidade', 'Estado direito responsabilidade todos', 'Militar', 'direito responsabilidade', 'direito responsabilidade todos', 'pública dever Estado direito', 'responsabilidade todos', 'Estado direito', 'proporcionalidade', 'entre Estados', 'saneamento', 'federal']","['sessão', 'partidária', 'correção', 'princípio', 'diferentes', 'direito', 'mudança', 'proporcionalidade', 'saneamento', 'federal', 'saúde', 'provisória', 'povos', 'serviços', 'Estados', 'medida', 'governo', 'legislativa', 'mesma', 'direitos']","['a Constituição estabelece que a segurança pública é dever do Estado, direito e responsabilidade de todos.', 'a Constituição estabelece que a segurança pública é dever do Estado, direito e responsabilidade de todos, conforme o art. 144.', 'a Constituição veda a reedição, na mesma sessão legislativa, de medida provisória que tenha sido rejeitada ou que tenha perdido sua eficácia por decurso de prazo.']"
17,136,17_impeachment_valor_aposentadorias_novos Estados,"['impeachment', 'valor', 'aposentadorias', 'novos Estados', 'votação', 'dá Presidente', 'viver', 'secreta', 'terras', 'verbas', 'proteção social', 'indígenas', 'Nacional Educação', 'salário', 'crimes responsabilidade', 'limita', 'proteção', 'direito educação', 'administração', 'responsabilidade']","['impeachment', 'valor', 'novos Estados', 'aposentadorias', 'votação', 'secreta', 'terras', 'dias', 'verbas', 'indígenas', 'sistema', 'salário', 'mínimo', 'proteção', 'administração', 'responsabilidade', 'deliberação', 'regras', 'legislativa', 'dignidade']","['o processo de impeachment está previsto na Constituição, mas deve ser baseado em razões legais específicas, como crimes de responsabilidade, e não apenas em impopularidade ou insatisfação popular', 'a Constituição estabelece que os vetos presidenciais devem ser apreciados em sessão conjunta dentro de 30 dias, a contar de seu recebimento, e que, esgotado esse prazo sem deliberação, o veto será colocado na ordem do dia da sessão imediata, sobrestadas as demais proposições até sua votação final.', 'a Constituição estabelece que a abertura de crédito suplementar ou especial sem prévia autorização legislativa e sem indicação dos recursos correspondentes não pode ser feita.']"
18,123,18_setor_orçamentos_impeachment_saúde,"['setor', 'orçamentos', 'impeachment', 'saúde', 'Poderes União', 'eleição', 'devem', 'cidadania', 'regiões', 'deve respeitada', 'instituir', 'impeachment processo', 'Federal tem', 'iguais perante lei sem', 'direito cidadão', 'lei sem distinção qualquer', 'sem distinção qualquer natureza', 'perante lei sem distinção', 'lei sem distinção', 'Supremo']","['setor', 'orçamentos', 'impeachment', 'saúde', 'eleição', 'cidadania', 'vigor', 'regiões', 'fundamental', 'direito', 'processo', 'liberdade', 'tributos', 'existência', 'Estado', 'legislação', 'condições', 'educação', 'provisórias', 'cartões']","['a Constituição assegura a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade.', 'a Constituição estabelece que todos são iguais perante a lei, sem distinção de qualquer natureza.', 'A Constituição estabelece que todos são iguais perante a lei, sem distinção de qualquer natureza, e que homens e mulheres são iguais em direitos e obrigações.']"
19,123,19_não pode_não_indígenas_Deputados Senadores,"['não pode', 'não', 'indígenas', 'Deputados Senadores', 'acesso', 'Militar', 'obrigatória', 'suplentes', 'deve cumprida', 'pertence', 'especialmente diz respeito', 'normativos', 'Nacional', 'básicos', 'acesso universal', 'publicidade atos', 'mínimo deve', 'Congresso Nacional', 'protege direitos', 'saúde direito']","['indígenas', 'acesso', 'obrigatória', 'suplentes', 'meio', 'normativos', 'Senadores', 'próprio', 'básicos', 'políticas', 'adolescentes', 'brasileiros', 'públicos', 'condenação', 'integração', 'respeito', 'atos', 'informações', 'termos', 'Estado']","['A Constituição estabelece que Deputados e Senadores são invioláveis, civil e penalmente, por quaisquer de suas opiniões, palavras e votos.', 'a Constituição estabelece que a saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas.', 'a Constituição estabelece que compete privativamente ao Senado Federal processar e julgar os Ministros do Supremo Tribunal Federal nos crimes de responsabilidade.']"
20,120,20_bem estar social_estar social_construir_tem competência,"['bem estar social', 'estar social', 'construir', 'tem competência', 'educação direito', 'bem estar', 'Estado bem estar social', 'Estado bem', 'Estado bem estar', 'Supremo Tribunal Federal', 'Supremo Tribunal', 'Tribunal Federal', 'estar', 'Federal tem competência', 'Supremo', 'Federal', 'país', 'saúde', 'educação', 'energia elétrica']","['bem', 'comércio', 'servidores', 'país', 'saúde', 'educação', 'modelo', 'elétrica', 'contas', 'desenvolvimento', 'livre', 'direito', 'energia', 'União', 'valores', 'competência', 'Estado', 'obrigação', 'interesse', 'competências']","['A Constituição estabelece que o Senado Federal tem a competência para processar e julgar os Ministros do Supremo Tribunal Federal nos crimes de responsabilidade.', 'a Constituição de 1988 consagrou o Sistema Único de Saúde (SUS) e estabeleceu um Estado de bem-estar social com direitos para os cidadãos', 'a Constituição de 1988 começou a construir um Estado de bem-estar social no Brasil']"
21,118,21_soberania_atribui Senado_saúde educação_ensino,"['soberania', 'atribui Senado', 'saúde educação', 'ensino', 'direitos', 'soberania popular', 'Paraguai', 'saúde', 'projeto lei', 'política', 'responsável', 'missão', 'brasileiras', 'casos relevância urgência', 'casos relevância', 'defendida', 'convocação', 'obrigações', 'impeachment', 'Estados Municípios']","['soberania', 'verbas', 'planejamento', 'ensino', 'cargo', 'direitos', 'saúde', 'política', 'responsável', 'missão', 'brasileiras', 'acesso', 'convocação', 'familiar', 'violência', 'livre', 'obrigações', 'impeachment', 'maternidade', 'educação']","['a Constituição estabelece o dever da família, da sociedade e do Estado de assegurar à criança, ao adolescente e ao jovem, com absoluta prioridade, diversos direitos, incluindo o direito à vida, à saúde, à educação e à proteção contra a violência.', 'a Constituição estabelece que a República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina.', 'a Constituição estabelece direitos sociais, como saúde, educação, alimentação, trabalho, moradia, transporte, lazer, segurança, previdência social, proteção à maternidade e à infância e assistência aos desamparados.']"
22,112,22_emenda_plena liberdade_ponto vista_fronteira,"['emenda', 'plena liberdade', 'ponto vista', 'fronteira', 'comum', 'mudar', 'normas', 'todos', 'plena', 'diz', 'independentemente', 'nem', 'liberdade', 'respeitada', 'Nacional', 'deve respeitada não', 'respeitada não', 'Federal', 'igualdade', 'opiniões']","['emenda', 'plena liberdade', 'ponto', 'fronteira', 'vista', 'comum', 'normas', 'plena', 'conquistas', 'liberdade', 'piso', 'informação', 'igualdade', 'opiniões', 'ano', 'fiscais', 'linha', 'espaço', 'quilômetros', 'base']","['a Constituição deve ser cumprida, especialmente no que diz respeito à hierarquia e disciplina das Forças Armadas.', 'a Constituição permitiu a corrupção, a descrença nos políticos, a falta de sonhos utópicos, os partidos sem propostas, sem identidades, nem do ponto de vista moral, nem do ponto de vista ideológico.', 'A Constituição de 1988 determina que os Territórios Federais de Roraima e do Amapá são transformados em Estados Federados, mantidos seus atuais limites geográficos.']"
23,108,23_alterar_votos_territoriais_reforma previdência,"['alterar', 'votos', 'territoriais', 'reforma previdência', 'segurança', 'impeachment só pode', 'circunstâncias', 'impeachment só', 'interesses', 'previdência', 'indisponíveis', 'segurança pública', 'direitos garantias individuais', 'regime', 'brasileiros', 'Parlamentar', 'legislar', 'impeachment', 'garantias individuais', 'garantias']","['votos', 'territoriais', 'individuais', 'segurança', 'circunstâncias', 'interesses', 'previdência', 'indisponíveis', 'regime', 'brasileiros', 'número', 'impeachment', 'garantias', 'cumprimento', 'justa', 'competência', 'questão', 'áreas', 'responsabilidade', 'leis']","['a Constituição assegura a igualdade de todos perante a lei, sem distinção de qualquer natureza, garantindo direitos fundamentais a brasileiros e estrangeiros residentes no País.', 'a Constituição estabelece o instituto do impeachment, que só pode ser autorizado em determinadas circunstâncias, como quando há crime de responsabilidade direta da Presidenta da República.', 'a Constituição estabelece que o Ministério Público deve defender a ordem jurídica, o regime democrático e os interesses sociais e individuais indisponíveis.']"
24,107,24_Congresso_Federal_nos Estados_Congresso Nacional,"['Congresso', 'Federal', 'nos Estados', 'Congresso Nacional', 'fontes financiamento', 'defesa', 'Senado Federal tem', 'fundamento', 'decisões judiciais', 'Nacional', 'República', 'drogas', 'serviços', 'Governo', 'Federal tem', 'fontes', 'tribunais', 'despesas', 'nosso', 'crimes']","['Congresso', 'superiores', 'populares', 'rito', 'defesa', 'fundamento', 'drogas', 'serviços', 'possibilidade', 'fontes', 'tribunais', 'despesas', 'direito', 'promoção', 'tributos', 'crimes', 'sistema', 'prática', 'judiciais', 'contraditório']","['a Constituição estabelece como um dos objetivos fundamentais da República Federativa do Brasil erradicar a pobreza e a marginalização e reduzir as desigualdades regionais.', 'a previdência contributiva pública faz parte do sistema de seguridade social instituído pela Constituição de 1988, e que as fontes de financiamento do sistema cobrem suas despesas, e a pequena parte que não é coberta o Governo Federal, por mandato constitucional, deve cobrir', 'a saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doença e de outros agravos e ao acesso universal e igualitário às ações e serviços para sua promoção, proteção e recuperação.']"
25,103,25_direitos garantias fundamentais_garantias fundamentais_proteção_cidadão brasileiro,"['direitos garantias fundamentais', 'garantias fundamentais', 'proteção', 'cidadão brasileiro', 'assegurado', 'policiais', 'entre direitos', 'direitos garantias', 'tem direito', 'proteção direitos', 'consumidor', 'cidadão', 'brasileiro', 'distinção qualquer natureza', 'distinção qualquer', 'sem distinção', 'garantias', 'crimes', 'distinção', 'condição']","['proteção', 'policiais', 'fronteiras', 'consumidor', 'compromisso', 'cidadão', 'brasileiro', 'combate', 'garantias', 'crimes', 'distinção', 'condição', 'ano', 'voto', 'segurança', 'natureza', 'secreto', 'direitos', 'brasileira', 'constitucional']","['a proteção ao consumidor se insere entre os direitos e garantias fundamentais de nosso País, com status de cláusula pétrea na Constituição.', 'a Constituição agora inclui a proteção de dados pessoais entre os direitos e garantias fundamentais do cidadão.', 'a Constituição estabelece os direitos e garantias fundamentais, incluindo a proteção dos direitos de todas as pessoas, sem distinção de qualquer natureza.']"
